,time,,x1,y1,z1,x2,y2,z2
8863,98.466,1.75697E+12,145.614716,125.542587,548.65918,141.817307,9.915152,548.353027
8864,98.477,1.75697E+12,145.554871,125.721169,548.484497,141.797897,9.908168,548.360779
8865,98.488,1.75697E+12,145.676498,125.590645,548.796326,141.875885,9.930976,548.435913
8866,98.5,1.75697E+12,145.660583,125.653275,548.944885,141.804596,9.948476,548.375122
8867,98.511,1.75697E+12,145.687958,125.737495,548.923645,141.808502,9.892384,548.36969
8868,98.522,1.75697E+12,145.623901,125.673592,548.80365,141.835892,10.060783,548.320984
8869,98.533,1.75697E+12,145.559586,125.706169,548.556763,141.792236,9.918406,548.295715
8870,98.544,1.75697E+12,145.733246,125.774658,548.869873,141.842941,10.013956,548.278809
8871,98.555,1.75697E+12,145.721954,125.673676,548.902893,141.909576,9.971995,548.402405
8872,98.566,1.75697E+12,145.679153,125.689804,548.900879,141.863983,9.88929,548.367065
8873,98.577,1.75697E+12,145.60759,125.60762,548.594482,141.911819,10.017692,548.298706
8874,98.588,1.75697E+12,145.605804,125.641739,548.618835,141.827332,9.992637,548.307861
8875,98.6,1.75697E+12,145.458893,125.533226,548.636108,141.995377,10.028325,548.31134
8876,98.611,1.75697E+12,145.693848,125.653885,549.007874,141.872406,10.005417,548.445801
8877,98.622,1.75697E+12,145.66626,125.70092,548.96875,141.86264,10.071812,548.374329
8878,98.633,1.75697E+12,145.623901,125.673592,548.80365,141.842072,10.03023,548.301758
8879,98.644,1.75697E+12,145.605469,125.604347,548.673584,141.855865,9.902371,548.394775
8880,98.655,1.75697E+12,145.575882,125.598579,548.614624,141.899384,10.022853,548.250549
8881,98.666,1.75697E+12,145.632553,125.630417,549.052979,141.821594,9.879741,548.431335
8882,98.677,1.75697E+12,145.660583,125.653275,548.944885,141.798981,10.038141,548.334839
8883,98.688,1.75697E+12,145.660583,125.653275,548.944885,141.832123,10.007177,548.3255
8884,98.7,1.75697E+12,145.581558,125.646225,548.63855,141.847458,10.002214,548.336914
8885,98.711,1.75697E+12,145.553024,125.674988,548.457764,141.819229,10.031092,548.215637
8886,98.722,1.75697E+12,145.605469,125.604347,548.673584,141.813568,10.003942,548.294189
8887,98.733,1.75697E+12,145.736893,125.776054,548.867188,141.749054,9.971301,548.367432
8888,98.744,1.75697E+12,145.691742,125.704094,548.956787,141.886948,10.119103,548.313293
8889,98.755,1.75697E+12,145.576736,125.593346,548.694763,141.809448,9.969606,548.282532
8890,98.766,1.75697E+12,145.588333,125.696915,548.583923,141.895477,10.032373,548.33905
8891,98.777,1.75697E+12,145.599792,125.556702,548.649719,141.894409,9.986379,548.385742
8892,98.788,1.75697E+12,145.72081,125.70208,549.007385,141.789551,9.986268,548.344604
8893,98.8,1.75697E+12,145.748749,125.66114,548.965576,141.917725,10.055695,548.441284
8894,98.811,1.75697E+12,145.680298,125.718277,548.958435,141.95163,10.056003,548.294312
8895,98.822,1.75697E+12,145.611328,125.705719,548.567017,141.835892,10.060783,548.320984
8896,98.833,1.75697E+12,145.529922,125.645737,548.656677,141.895477,10.032373,548.33905
8897,98.844,1.75697E+12,145.637955,125.528107,548.873962,141.94664,10.032538,548.26532
8898,98.855,1.75697E+12,145.728607,125.752998,548.952209,141.783188,9.96678,548.420166
8899,98.866,1.75697E+12,145.721954,125.673676,548.902893,141.874481,9.979057,548.400391
8900,98.877,1.75697E+12,145.600983,125.58886,548.675049,141.880112,9.997677,548.32605
8901,98.888,1.75697E+12,145.521637,125.694672,548.507019,141.913239,9.98105,548.339417
8902,98.9,1.75697E+12,145.591904,125.611778,548.670532,141.768188,9.947228,548.326416
8903,98.911,1.75697E+12,145.66626,125.70092,548.96875,141.768753,10.076568,548.301392
8904,98.922,1.75697E+12,145.655762,125.600403,549.001038,141.851822,10.003927,548.454163
8905,98.933,1.75697E+12,145.691742,125.704094,548.956787,141.850494,10.00104,548.383423
8906,98.944,1.75697E+12,145.585892,125.641304,548.642151,141.825653,9.884809,548.417664
8907,98.955,1.75697E+12,145.60347,125.639206,548.846069,141.834457,9.952797,548.344971
8908,98.966,1.75697E+12,145.608963,125.675888,549.014099,141.758713,9.974854,548.360291
8909,98.977,1.75697E+12,145.734024,125.720291,548.92572,141.933578,9.924476,548.522461
8910,98.988,1.75697E+12,145.664902,125.658882,548.83667,141.833847,9.913009,548.338318
8911,99,1.75697E+12,145.535095,125.69635,548.602661,141.891434,10.062011,548.301636
8912,99.011,1.75697E+12,145.642929,125.666626,548.596558,141.835892,10.060783,548.320984
8913,99.022,1.75697E+12,145.645813,125.666542,549.011169,141.797562,9.957873,548.31134
8914,99.033,1.75697E+12,145.721954,125.673676,548.902893,141.821396,10.009813,548.285034
8915,99.044,1.75697E+12,145.608627,125.681458,548.933533,141.875931,9.949166,548.340454
8916,99.055,1.75697E+12,145.582657,125.649261,548.559998,141.880203,9.96198,548.417786
8917,99.066,1.75697E+12,145.561111,125.611832,548.680969,141.884125,10.033445,548.296326
8918,99.077,1.75697E+12,145.721436,125.645737,548.799133,141.797958,9.982623,548.323242
8919,99.088,1.75697E+12,145.661423,125.648048,549.024963,141.857376,10.000777,548.357971
8920,99.1,1.75697E+12,145.662613,125.650955,548.946594,141.85704,9.953575,548.342163
8921,99.111,1.75697E+12,145.660583,125.653275,548.944885,141.930908,10.094919,548.257263
8922,99.122,1.75697E+12,145.576736,125.593346,548.694763,141.972626,10.001906,548.348389
8923,99.133,1.75697E+12,145.554916,125.664215,548.6875,141.878067,9.87101,548.318359
8924,99.144,1.75697E+12,145.673035,125.751602,548.914185,141.851791,10.006145,548.279358
8925,99.155,1.75697E+12,145.661423,125.648048,549.024963,141.834412,10.100687,548.253052
8926,99.166,1.75697E+12,145.660583,125.653275,548.944885,141.783371,10.016823,548.363831
8927,99.177,1.75697E+12,145.591904,125.611778,548.670532,141.914581,9.963367,548.312012
8928,99.188,1.75697E+12,145.476944,125.691338,548.541809,141.78891,9.961973,548.290649
8929,99.2,1.75697E+12,145.66626,125.70092,548.96875,141.890625,9.952166,548.37384
8930,99.211,1.75697E+12,145.616287,126.003601,549.182983,141.803482,9.405891,548.431519
8931,99.222,1.75697E+12,145.279007,127.560753,548.755859,141.80777,7.978405,548.508301
8932,99.233,1.75697E+12,145.630417,128.795975,548.684509,141.636322,6.550189,548.472778
8933,99.244,1.75697E+12,145.530624,129.884369,548.876343,142.028687,5.579344,548.453857
8934,99.255,1.75697E+12,145.608673,131.088364,549.070679,141.778732,4.289505,548.182251
8935,99.266,1.75697E+12,145.787903,131.904312,548.854187,141.990738,3.544403,548.226562
8936,99.277,1.75697E+12,145.79924,132.047913,548.825073,141.9935,3.457016,548.226196
8937,99.288,1.75697E+12,145.622284,132.166214,548.83313,142.075089,3.156855,548.347778
8938,99.3,1.75697E+12,145.680511,132.140152,548.728149,141.996552,3.093302,548.41333
8939,99.311,1.75697E+12,145.692123,132.243896,548.617615,141.957336,3.208324,548.351501
8940,99.322,1.75697E+12,145.735748,132.108246,548.784851,141.998795,3.098087,548.407166
8941,99.333,1.75697E+12,145.770859,132.142899,548.737244,141.978806,3.19279,548.30658
8942,99.344,1.75697E+12,145.747375,132.21199,548.674316,141.967255,3.289789,548.316101
8943,99.355,1.75697E+12,145.764297,132.067932,548.816467,141.966965,3.135345,548.415466
8944,99.366,1.75697E+12,145.770859,132.142899,548.737244,141.897614,3.141577,548.430664
8945,99.377,1.75697E+12,145.736816,132.159927,548.731384,142.051468,3.092395,548.332886
8946,99.388,1.75697E+12,145.711716,132.174332,548.78949,141.941269,3.157959,548.43335
8947,99.4,1.75697E+12,145.68158,132.191818,548.674683,141.993835,3.200851,548.332764
